date,code,open,high,low,close,volume,amount,turn,pctChg,peTTM,psTTM,pcfNcfTTM
2022-01-17,sh.600036,48.37,48.85,47.89,48.58,53180761,2574842949.5,0.2578,0.011661999999999999,10.216475,3.698836,10.822094
2022-01-18,sh.600036,48.65,49.34,48.28,49.01,57907708,2835126314.76,0.2807,0.008851,10.306905,3.731575,10.917885
2022-01-19,sh.600036,49.47,49.98,49.11,49.7,62028026,3078947654.76,0.3007,0.014079,10.452013,3.784111,11.071595
2022-01-20,sh.600036,49.88,51.89,49.88,51.37,138624871,7089347715.93,0.672,0.033602,10.803218,3.911264,11.443618
2022-01-21,sh.600036,51.39,52.0,51.21,51.82,85808094,4439219180.68,0.416,0.00876,10.897854,3.945526,11.543864
2022-01-24,sh.600036,51.95,52.0,51.03,51.85,63815520,3288272323.54,0.3093,0.000579,10.904163,3.947810,11.550547
2022-01-25,sh.600036,51.55,51.79,50.7,50.9,58351289,2987207429.53,0.2829,-0.018322,10.704376,3.875478,11.338917
2022-01-26,sh.600036,51.25,51.49,50.6,51.0,43669628,2226767107.49,0.2117,0.001965,10.725406,3.883092,11.361194
2022-01-27,sh.600036,50.9,51.18,50.12,50.77,52940057,2687973690.65,0.2566,-0.00451,10.677036,3.865580,11.309957
2022-01-28,sh.600036,51.05,51.2,49.15,49.21,71514411,3576839774.29,0.3467,-0.030727,10.348965,3.746803,10.962438
2022-02-07,sh.600036,50.3,51.5,50.13,51.35,73234913,3741572656.01,0.355,0.043487,10.799012,3.909741,11.439163
2022-02-08,sh.600036,51.55,52.0,50.99,51.71,52824176,2724121498.84,0.2561,0.007011,10.874720,3.937151,11.519360
2022-02-09,sh.600036,51.9,52.34,51.28,51.62,51220706,2651984748.63,0.2483,-0.0017399999999999998,10.855793,3.930298,11.499310
2022-02-10,sh.600036,51.9,51.9,51.0,51.71,33554247,1725040528.57,0.1627,0.0017439999999999999,10.874720,3.937151,11.519360
2022-02-11,sh.600036,51.82,53.0,51.65,52.76,80993265,4267478081.74,0.3926,0.020306,11.095538,4.017097,11.753267
2022-02-14,sh.600036,52.99,52.99,51.0,51.2,59405166,3060509962.19,0.288,-0.029567999999999997,10.767466,3.898320,11.405748
2022-02-15,sh.600036,50.95,51.38,49.95,50.22,56617903,2851170328.85,0.2745,-0.019141,10.561370,3.823704,11.187434
2022-02-16,sh.600036,50.56,51.36,50.23,51.07,40495579,2065162805.67,0.1963,0.016926,10.740127,3.888422,11.376788
2022-02-17,sh.600036,51.27,51.98,50.92,51.46,44157043,2281127847.12,0.2141,0.0076370000000000006,10.822145,3.918116,11.463667
2022-02-18,sh.600036,51.25,52.11,51.25,52.06,35439010,1837821805.61,0.1718,0.011659999999999998,10.948326,3.963799,11.597329
2022-02-21,sh.600036,51.83,51.89,51.01,51.76,31345076,1610843079.61,0.1519,-0.005763000000000001,10.885235,3.940958,11.530498
2022-02-22,sh.600036,51.08,51.35,50.74,51.22,36983993,1887326606.67,0.1793,-0.010433,10.771672,3.899843,11.410203
2022-02-23,sh.600036,51.46,51.46,50.65,50.83,37499974,1905978106.2,0.1818,-0.007613999999999999,10.689655,3.870148,11.323323
2022-02-24,sh.600036,50.55,50.58,49.85,50.02,48238083,2418202038.96,0.2338,-0.015934999999999998,10.519310,3.808476,11.142881
2022-02-25,sh.600036,50.04,50.5,49.55,49.81,45184050,2256854494.13,0.219,-0.004198,10.475146,3.792487,11.096099
2022-02-28,sh.600036,49.59,49.94,49.31,49.8,33528964,1662895008.0,0.1625,-0.000201,10.473043,3.791725,0.000000
2022-03-01,sh.600036,50.0,50.5,49.36,50.24,40645436,2027737712.0,0.197,0.008834999999999999,10.565576,3.825226,11.191890
2022-03-02,sh.600036,49.8,50.23,49.44,49.47,39707598,1972076240.0,0.1925,-0.015326,10.403644,3.766599,11.020358
2022-03-03,sh.600036,49.58,49.97,49.45,49.73,31128967,1546031520.0,0.1509,0.005255999999999999,10.458322,3.786395,11.078278
2022-03-04,sh.600036,49.25,49.39,48.5,48.7,57789720,2818733872.0,0.2801,-0.020712,10.241711,3.707972,10.848826
2022-03-07,sh.600036,48.01,48.26,46.5,46.76,101435369,4773665792.0,0.4917,-0.039836,9.833725,3.560262,10.416655
2022-03-08,sh.600036,46.56,46.77,45.2,45.48,83466464,3842685600.0,0.4046,-0.027374,9.564538,3.462804,10.131512
2022-03-09,sh.600036,45.6,45.73,43.01,44.39,90043112,4012104656.0,0.4365,-0.023967000000000002,9.335309,3.379813,9.888694
2022-03-10,sh.600036,45.6,45.7,44.63,44.7,67149583,3031093296.0,0.3255,0.006984000000000001,9.400503,3.403416,9.957752
2022-03-11,sh.600036,44.5,44.79,43.1,44.45,74052488,3252533328.0,0.359,-0.005593,9.347927,3.384381,9.902060
2022-03-14,sh.600036,43.5,43.98,42.1,42.15,108046557,4627178752.0,0.5238,-0.051744000000000005,8.864233,3.209261,9.389693
2022-03-15,sh.600036,41.61,41.61,39.18,39.45,131309249,5293255424.0,0.6365,-0.064057,8.296417,3.003686,8.788218
2022-03-16,sh.600036,40.06,42.8,39.91,42.58,137744932,5685452800.0,0.6677,0.079341,8.954662,3.242001,9.485483
2022-03-17,sh.600036,44.15,45.17,43.67,44.51,131964759,5873750272.0,0.6397,0.045326000000000005,9.360545,3.388950,9.915426
2022-03-18,sh.600036,44.6,46.17,44.02,46.17,92358531,4173209905.15,0.4477,0.037294999999999995,9.709647,3.515340,10.285222
2022-03-21,sh.600036,45.89,45.89,44.6,44.81,79103220,3566893331.5,0.3835,-0.029456000000000003,9.423636,3.411596,4.539216
2022-03-22,sh.600036,45.04,45.86,44.82,45.53,54903830,2497185116.64,0.2661,0.016068,9.575054,3.466413,4.612151
2022-03-23,sh.600036,45.69,45.97,45.3,45.76,46995984,2148515086.25,0.2278,0.005052,9.623423,3.483924,4.635450
2022-03-24,sh.600036,45.6,46.09,45.36,45.77,38033234,1742027092.47,0.1844,0.00021899999999999998,9.625526,3.484685,4.636463
2022-03-25,sh.600036,45.71,45.95,45.0,45.18,31825936,1445681950.99,0.1543,-0.012891,9.501448,3.439765,4.576696
2022-03-28,sh.600036,44.84,45.5,44.25,45.05,38645874,1736237600.82,0.1873,-0.0028770000000000002,9.474109,3.429868,4.563527
2022-03-29,sh.600036,45.15,45.55,44.91,45.01,34962089,1580213154.04,0.1695,-0.000888,9.465696,3.426823,4.559475
2022-03-30,sh.600036,45.36,46.3,45.35,46.23,52072269,2389901320.41,0.2524,0.027105,9.722265,3.519707,4.683060
2022-03-31,sh.600036,45.99,47.12,45.82,46.8,61588490,2878948596.53,0.2986,0.01233,9.842137,3.563104,4.740801
2022-04-01,sh.600036,46.49,47.47,46.28,47.1,47613944,2233625273.22,0.2308,0.00641,9.905228,3.585944,4.771191
2022-04-06,sh.600036,46.4,47.73,46.38,47.39,47826855,2260412706.38,0.2318,0.006157,9.966215,3.608023,4.800567
2022-04-07,sh.600036,47.35,47.59,46.58,46.86,37720107,1776370371.3,0.1829,-0.011184000000000001,9.854755,3.567672,4.746879
2022-04-08,sh.600036,46.7,47.18,46.6,47.18,36423474,1711753064.46,0.1766,0.006828999999999999,9.922052,3.592035,4.779295
2022-04-11,sh.600036,46.71,46.87,45.59,45.9,49261173,2263984280.74,0.2388,-0.02713,9.652865,3.494582,4.649632
2022-04-12,sh.600036,46.2,46.46,45.11,45.7,58884049,2691571029.96,0.2854,-0.004357,9.610805,3.479355,4.629372
2022-04-13,sh.600036,45.7,46.1,45.31,45.75,44822252,2054724467.71,0.2173,0.001094,9.621320,3.483162,4.634437
2022-04-14,sh.600036,46.01,46.43,45.75,45.76,32661329,1503135688.91,0.1583,0.00021899999999999998,9.623423,3.483924,4.635450
2022-04-15,sh.600036,45.7,47.0,45.49,46.83,42315903,1962144156.6,0.2051,0.023382999999999998,9.848446,3.565388,4.743840
2022-04-18,sh.600036,45.96,45.96,42.78,43.39,236677506,10320718085.43,1.1473,-0.073457,9.125007,3.303484,4.395371
